,0mlBoXZHSLmWELx913rR9g,3tv6xAvjSiOBvn6Pi8LkGw,djaAx8sEQReRzImtd2sA3w,dvFjgBzQSu2S8De95BYqmg,ECvuummcQA-4GskntiAHtQ,JHRdQdJWQrmH65m7odosVw,mRY84FM1R7WFu8jDymW3eA,nPKbqr0XR0Kn8Jz8nj35Kw,ONG8kdYrQGqUP17PgZZFmA,SS_M7DvJTvKxIcNAt6rB5Q,UXtdCOPLTDaONmM-mk4e1A,VrVBdpn5QWOhPYOMZYjqBQ,W1_cjyfLSEqpecix7LdImQ,Wma7L57WQgGc-9ivrhoG4A,X89zKFz4QC-M5jwo1iLI4g,sum
HomeTab-StreakResult,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HomeTab-null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MainActivity-Coupon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MainActivity-MyTabSetting,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MainActivity-ReviewTab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MainActivity-Splash,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0
MyAccountChange-MyTabSetting,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
MyAccountChange-Splash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
MyAccountChange-null,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MyMembershipManagement-MyTabSetting,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MyNameChange-MyTabSetting,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
MyTab-BadgeList,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
MyTab-Coupon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MyTab-HomeTab,0.0,0.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0
MyTab-MyTab,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MyTab-MyTabSetting,0.0,5.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,16.0
MyTab-PathTab,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0
MyTab-PlusOnlyTab,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0
MyTab-RCTModalHostViewController,0.0,1.0,5.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,23.0
MyTab-ReviewTab,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,13.0
MyTab-SignInHubActivity,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
MyTab-Splash,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
MyTab-StreakResult,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
MyTab-null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MyTabSetting-Coupon,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MyTabSetting-GDPRScreen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
MyTabSetting-MyAccountChange,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
MyTabSetting-MyMembershipManagement,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
