,0mlBoXZHSLmWELx913rR9g,3tv6xAvjSiOBvn6Pi8LkGw,djaAx8sEQReRzImtd2sA3w,dvFjgBzQSu2S8De95BYqmg,ECvuummcQA-4GskntiAHtQ,JHRdQdJWQrmH65m7odosVw,mRY84FM1R7WFu8jDymW3eA,nPKbqr0XR0Kn8Jz8nj35Kw,ONG8kdYrQGqUP17PgZZFmA,SS_M7DvJTvKxIcNAt6rB5Q,UXtdCOPLTDaONmM-mk4e1A,VrVBdpn5QWOhPYOMZYjqBQ,W1_cjyfLSEqpecix7LdImQ,Wma7L57WQgGc-9ivrhoG4A,X89zKFz4QC-M5jwo1iLI4g
BadgeList-MyTab,.,2.0,4.0,.,.,.,.,.,.,.,.,.,1.0,.,1.0
CollectionQuiz-CurriculumDetail,.,1.0,.,4.0,.,.,.,.,.,.,1.0,.,.,.,.
CollectionQuiz-HomeTab,2.0,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.
CollectionQuiz-PathTab,1.0,9.0,38.0,.,.,28.0,.,.,.,1.0,.,.,9.0,.,.
CollectionQuiz-Player,.,4.0,.,.,.,.,.,.,.,.,.,.,.,.,.
CollectionQuiz-PushHistory,.,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.
CollectionQuiz-RCTModalHostViewController,.,.,1.0,.,.,3.0,.,.,.,2.0,.,.,.,.,.
CollectionQuiz-null,.,.,.,.,.,.,.,.,1.0,.,.,.,.,.,.
ContinuousPlayer-CurriculumDetail,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.
Coupon-Splash,.,1.0,1.0,.,.,.,1.0,.,1.0,.,.,.,.,.,.
Coupon-UIViewController,.,.,.,.,1.0,.,.,2.0,.,.,.,.,.,.,.
CurriculumDetail-CollectionQuiz,.,1.0,.,4.0,.,.,.,.,.,.,1.0,.,.,.,.
CurriculumDetail-ContinuousPlayer,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.
CurriculumDetail-HomeTab,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.
CurriculumDetail-Player,.,1.0,.,7.0,.,.,.,.,.,.,2.0,.,.,.,.
CurriculumDetail-PlusOnlyTab,.,1.0,.,8.0,.,.,1.0,.,.,.,.,2.0,.,.,.
CurriculumDetail-RCTModalHostViewController,.,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.
CurriculumDetail-SnackPlayer,.,2.0,.,2.0,.,.,1.0,.,.,.,.,.,.,.,.
CurriculumDetail-SpeakLecturePlayer,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.
CurriculumDetail-null,.,.,.,1.0,.,.,.,.,.,.,1.0,.,.,.,.
Error-Splash,.,.,.,.,.,.,.,.,2.0,.,.,.,.,.,.
GDPRScreen-RCTModalHostViewController,.,.,.,.,.,.,.,2.0,.,.,.,.,.,.,.
HomeTab-CollectionQuiz,2.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
HomeTab-Coupon,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,1.0
HomeTab-CurriculumDetail,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.
HomeTab-MyTab,2.0,2.0,.,3.0,.,1.0,2.0,3.0,.,.,1.0,4.0,3.0,2.0,1.0
HomeTab-PathTab,1.0,2.0,3.0,.,.,10.0,2.0,.,.,2.0,.,1.0,1.0,1.0,2.0
HomeTab-Player,.,.,1.0,3.0,.,.,.,2.0,.,.,2.0,.,.,.,.
HomeTab-PlusOnlyTab,.,1.0,.,4.0,.,.,1.0,2.0,.,.,1.0,.,1.0,.,1.0
HomeTab-PushHistory,.,.,1.0,3.0,.,.,.,.,.,.,.,.,.,1.0,.
HomeTab-RCTModalHostViewController,.,8.0,.,.,3.0,1.0,1.0,1.0,.,1.0,2.0,2.0,2.0,.,.
HomeTab-ReviewTab,.,3.0,.,3.0,.,.,.,1.0,.,.,.,.,1.0,.,1.0
HomeTab-SnackPlayer,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.,.
HomeTab-SnackUploaderList,.,.,.,.,.,.,1.0,.,.,.,.,.,.,.,.
HomeTab-SpeakLecturePlayer,.,1.0,.,2.0,.,.,.,.,.,.,.,.,.,.,.
HomeTab-Splash,.,.,.,.,.,.,1.0,.,.,.,1.0,1.0,.,.,.
HomeTab-StreakResult,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.
HomeTab-null,.,.,.,.,.,.,.,.,.,1.0,.,.,.,.,.
MainActivity-Coupon,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MainActivity-MyTabSetting,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.
MainActivity-ReviewTab,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.0
MainActivity-Splash,5.0,.,.,13.0,.,.,.,.,.,.,.,.,.,.,4.0
MyAccountChange-MyTabSetting,.,1.0,.,.,.,1.0,.,.,.,.,.,.,1.0,.,.
MyAccountChange-Splash,.,.,.,.,.,.,.,.,.,.,.,.,1.0,.,.
MyAccountChange-null,.,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.
MyMembershipManagement-MyTabSetting,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.,.
MyNameChange-MyTabSetting,.,.,.,.,.,1.0,.,.,.,1.0,.,.,1.0,.,.
MyTab-BadgeList,.,2.0,3.0,.,.,.,.,.,.,.,.,.,.,.,1.0
MyTab-Coupon,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.
MyTab-HomeTab,.,.,3.0,2.0,.,3.0,.,2.0,.,.,.,1.0,1.0,.,1.0
MyTab-MyTab,.,.,.,.,.,1.0,.,.,.,.,.,.,.,.,.
MyTab-MyTabSetting,.,5.0,1.0,.,1.0,.,1.0,3.0,.,2.0,.,1.0,.,.,2.0
MyTab-PathTab,.,.,6.0,.,.,2.0,.,.,.,.,.,.,1.0,.,2.0
MyTab-PlusOnlyTab,.,2.0,1.0,2.0,.,.,2.0,.,.,.,.,1.0,.,.,2.0
MyTab-RCTModalHostViewController,.,1.0,5.0,.,.,6.0,.,3.0,.,.,1.0,2.0,4.0,1.0,.
MyTab-ReviewTab,.,5.0,2.0,.,.,1.0,.,.,.,.,.,1.0,3.0,.,1.0
MyTab-SignInHubActivity,1.0,.,.,2.0,.,.,.,.,.,.,.,.,.,.,1.0
MyTab-Splash,.,.,1.0,.,.,1.0,.,.,.,.,.,.,.,1.0,.
MyTab-StreakResult,.,1.0,3.0,.,.,.,.,.,.,.,.,.,1.0,.,1.0
MyTab-null,.,.,.,.,.,.,.,.,.,.,.,.,.,1.0,.
MyTabSetting-Coupon,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.,.
MyTabSetting-GDPRScreen,.,.,.,.,.,.,.,2.0,.,.,.,.,.,.,.
MyTabSetting-MyAccountChange,.,1.0,.,.,1.0,1.0,.,.,.,.,.,.,2.0,.,.
MyTabSetting-MyMembershipManagement,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.,.
