0,1,2,3,4,5,6,7,8
.,.,.,.,.,SpeakLecturePlayer,.,.,.
.,.,.,.,.,SpeakCourse,.,.,.
.,.,.,.,.,SpeakLecturePlayer,.,.,.
.,.,.,.,.,SpeakCourse,.,.,.
.,.,.,.,.,SpeakLecturePlayer,.,.,.
.,.,.,.,.,SpeakCourse,.,.,.
.,.,.,.,.,RCTModalHostViewController,.,.,.
.,.,.,.,.,UIViewController,.,.,.
.,.,.,.,.,SpeakCollection,.,.,.
.,.,.,.,.,PlusOnlyTab,.,.,.
.,.,.,.,.,HomeTab,.,.,.
