std_ymd,event_date,auth_id,event_name,is_anonymous,learn_lang,learn_lang_cnt,lang_code,app_version,platform,platform_version,device_category,continent,country,event_timestamp,event_timestamp_w_timezone,week_cd,screen_class,previous_screen_class,use_time_msec,purchase_type,product,create_date
2023-09-25,20230925,ECvuummcQA-4GskntiAHtQ,membership_user,0,ko,1,zh,5.5.1,IOS,iOS 16.6.1,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Splash,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-25,20230925,ECvuummcQA-4GskntiAHtQ,user_engagement,0,ko,1,zh,5.5.1,IOS,iOS 16.6.1,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,MyAccountChange,null,6947,null,null,2023-10-08
2023-09-25,20230925,ECvuummcQA-4GskntiAHtQ,screen_view,0,ko,1,zh,5.5.1,IOS,iOS 16.6.1,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,UIViewController,null,null,null,null,2023-10-08
2023-09-25,20230925,ECvuummcQA-4GskntiAHtQ,screen_view,0,ko,1,zh,5.5.1,IOS,iOS 16.6.1,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,UIViewController,UIViewController,null,null,null,2023-10-08
2023-09-25,20230925,ECvuummcQA-4GskntiAHtQ,screen_view,0,ko,1,zh,5.5.1,IOS,iOS 16.6.1,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Splash,UIViewController,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,StreakSetting,StreakResult,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,StreakResult,null,4825,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,path_tab_step_click,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTabPlayer,PathTab,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTabPlayer,null,150446,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,UIViewController,null,266202,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,RCTModalHostViewController,null,1820,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,PushHistory,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,RCTModalHostViewController,PathTabPlayer,null,null,null,2023-10-08
