auth_id,event_name,previous_screen_class,screen_class,event_timestamp_w_timezone,use_time_msec
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Splash,1695166833109000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695166833109000,1156.0
3tv6xAvjSiOBvn6Pi8LkGw,splash_visit,.,Splash,1695166833110000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,OnboardingFirst,1695166833125000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,OnboardingFirst,1695166833442000,332.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,OnboardingFirst,1695166836906000,2060.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,OnboardingFirst,OnboardingLanguageSetting,1695166836906000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,OnboardingLanguageSetting,1695166837257000,351.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,1695166847610000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,OnboardingLanguageSetting,1695166847610000,8575.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,OnboardingKoreanOptions,HomeTab,1695166867668000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,OnboardingKoreanOptions,1695166867668000,20058.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,HomeTab,1695166872134010,4465.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,MyTab,1695166872134010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTab,1695166874160010,2026.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,RCTModalHostViewController,1695166874161010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695166894838000,20677.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695166894839000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695166921063000,26225.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Coupon,1695166943739000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695166943740000,1131.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,Coupon,1695166946975000,3234.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,Coupon,1695166966601000,1999.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Coupon,Splash,1695166977390000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,Coupon,1695166977390000,8713.0
3tv6xAvjSiOBvn6Pi8LkGw,splash_visit,.,Splash,1695166977391000,.
3tv6xAvjSiOBvn6Pi8LkGw,membership_user,.,Splash,1695166977391000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,HomeTab,1695166977432000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,HomeTab,1695166977941000,551.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,HomeTab,1695166978582000,9.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,ReviewTab,1695166980418000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,MyTab,1695166981045000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,ReviewTab,1695166981045000,1489.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,1695166984449000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTab,1695166984450000,3404.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyTab,1695166987332000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTabSetting,1695166987333000,2883.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTab,1695166990343000,3010.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,1695166990343000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyAccountChange,1695166998479000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTabSetting,1695166998479000,8135.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyAccountChange,1695167002350010,3870.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyAccountChange,MyTabSetting,1695167218899000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyAccountChange,1695167218901000,2528.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTabSetting,1695167241208000,22306.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyTab,1695167269005000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTabSetting,1695167269005000,26312.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTab,1695167270541000,1535.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,PlusOnlyTab,1695167270541000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PlusOnlyTab,ReviewTab,1695167271933000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,PlusOnlyTab,1695167271933000,1391.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,ReviewTab,1695167273156000,1223.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,PathTab,1695167273156000,.
3tv6xAvjSiOBvn6Pi8LkGw,path_tab_visit,.,PathTab,1695167273268010,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,HomeTab,1695167273955010,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,MyTab,1695167276513010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,HomeTab,1695167276514010,3357.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTab,1695167281059010,4545.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,1695167281059010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTabSetting,1695167289757010,8698.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,.,UIViewController,1695168497385000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,UIViewController,1695168497421000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Splash,1695168497888000,.
